entity,year,narrative_rank,performance_rank,gap,pagerank,degree,total_weight,momentum_label,points,wins,losses,draws,finish,made_playoffs,cup_result,conference
Atlanta United FC,2018,7,2,-5,0.044433,25,251,stable,69,21,6,7,1,1,MLS Cup Winner,Eastern
Atlanta United FC,2019,5,7,2,0.047734,27,302,rising,50,14,13,7,6,1,Conference Final,Eastern
Atlanta United FC,2020,16,15,-1,0.031462,23,158,falling,26,7,7,2,10,0,group_stage,Eastern
Atlanta United FC,2021,16,14,-2,0.031315,25,144,rising,44,12,12,6,9,1,first_round,Eastern
Atlanta United FC,2022,20,9,-11,0.028167,26,166,falling,49,14,10,9,5,1,conference_semifinal,Eastern
Atlanta United FC,2023,16,18,2,0.03005,25,220,rising,44,12,13,7,8,0,missed_playoffs,Eastern
Atlanta United FC,2024,20,8,-12,0.026898,24,181,falling,52,15,11,8,5,1,conference_semifinal,Eastern
Austin FC,2021,24,21,-3,0.027158,23,120,rising,38,10,16,8,10,0,missed_playoffs,Western
Austin FC,2022,24,3,-21,0.026859,26,157,rising,59,19,9,6,3,1,conference_semifinal,Western
Austin FC,2023,29,18,-11,0.018508,26,114,falling,44,12,14,8,9,0,missed_playoffs,Western
Austin FC,2024,28,17,-11,0.016498,25,93,stable,46,13,14,7,10,1,first_round,Western
CF Montreal,2018,8,20,12,0.044361,26,248,stable,38,9,17,8,12,0,missed_playoffs,Eastern
CF Montreal,2019,4,11,7,0.050585,26,321,rising,45,12,14,8,9,0,missed_playoffs,Eastern
CF Montreal,2020,2,20,18,0.060705,27,328,rising,24,6,8,2,12,0,missed_playoffs,Eastern
CF Montreal,2021,6,3,-3,0.044973,27,218,falling,59,18,8,8,2,1,conference_final,Eastern
CF Montreal,2022,1,4,3,0.062768,27,413,rising,57,17,8,9,3,1,conference_semifinal,Eastern
CF Montreal,2023,3,14,11,0.051104,26,403,falling,46,13,12,9,7,1,first_round,Eastern
CF Montreal,2024,3,12,9,0.052647,28,387,stable,48,13,12,9,7,1,first_round,Eastern
Charlotte FC,2022,23,13,-10,0.026991,26,152,rising,44,12,14,8,8,0,missed_playoffs,Eastern
Charlotte FC,2023,19,9,-10,0.027317,26,194,rising,51,14,11,9,6,1,first_round,Eastern
Charlotte FC,2024,26,4,-22,0.02081,22,130,stable,55,16,10,8,4,1,conference_semifinal,Eastern
Chicago Fire FC,2018,13,12,-1,0.03663,25,201,stable,46,13,13,8,8,0,missed_playoffs,Eastern
Chicago Fire FC,2019,10,23,13,0.036166,24,219,falling,33,8,19,7,13,0,missed_playoffs,Eastern
Chicago Fire FC,2020,26,15,-11,0.01771,20,75,falling,26,7,7,2,11,0,missed_playoffs,Eastern
Chicago Fire FC,2021,15,16,1,0.032564,24,152,rising,41,11,14,7,10,0,missed_playoffs,Eastern
Chicago Fire FC,2022,8,24,16,0.040953,27,255,rising,41,11,14,9,10,0,missed_playoffs,Eastern
Chicago Fire FC,2023,14,18,4,0.033489,28,246,falling,44,12,13,8,7,0,missed_playoffs,Eastern
Chicago Fire FC,2024,16,25,9,0.031421,26,217,stable,38,10,16,8,11,0,missed_playoffs,Eastern
Colorado Rapids,2018,16,19,3,0.034946,25,160,stable,40,11,15,8,11,0,missed_playoffs,Western
Colorado Rapids,2019,18,17,-1,0.029859,26,173,falling,41,11,14,9,10,0,missed_playoffs,Western
Colorado Rapids,2020,14,8,-6,0.032475,24,164,stable,35,9,6,5,4,1,conference_semifinal,Western
Colorado Rapids,2021,14,2,-12,0.034418,25,160,rising,64,19,8,7,2,1,conference_final,Western
Colorado Rapids,2022,21,13,-8,0.027182,26,157,falling,44,12,14,8,9,0,missed_playoffs,Western
Colorado Rapids,2023,24,24,0,0.0224,25,146,falling,42,11,14,9,10,0,missed_playoffs,Western
Colorado Rapids,2024,18,23,5,0.029329,25,198,rising,40,10,15,9,12,0,missed_playoffs,Western
Columbus Crew,2018,2,10,8,0.056096,26,318,stable,49,14,10,10,4,1,conference_semifinal,Eastern
Columbus Crew,2019,11,12,1,0.036142,26,218,falling,44,12,13,9,8,1,conference_semifinal,Eastern
Columbus Crew,2020,15,1,-14,0.031793,27,157,stable,55,15,5,6,1,1,MLS Cup Winner,Eastern
Columbus Crew,2021,11,6,-5,0.036139,26,170,falling,53,15,10,9,5,1,conference_final,Eastern
Columbus Crew,2022,14,13,-1,0.033388,26,203,stable,44,12,14,8,9,0,missed_playoffs,Eastern
Columbus Crew,2023,7,9,2,0.045017,28,346,rising,51,15,11,8,5,1,conference_semifinal,Eastern
Columbus Crew,2024,2,1,-1,0.055586,28,414,rising,62,18,8,8,1,1,MLS Cup Winner,Eastern
D.C. United,2018,10,6,-4,0.038556,24,213,stable,54,16,11,7,3,1,conference_semifinal,Eastern
D.C. United,2019,15,19,4,0.031858,26,189,falling,39,10,16,8,11,0,missed_playoffs,Eastern
D.C. United,2020,19,23,4,0.028217,24,136,falling,18,4,10,2,14,0,missed_playoffs,Eastern
D.C. United,2021,17,24,7,0.03117,24,144,rising,34,9,17,6,12,0,missed_playoffs,Eastern
D.C. United,2022,16,26,10,0.031615,25,191,rising,35,9,17,8,13,0,missed_playoffs,Eastern
D.C. United,2023,21,27,6,0.025233,24,176,falling,36,9,17,8,13,0,missed_playoffs,Eastern
D.C. United,2024,25,24,-1,0.022058,24,139,falling,39,10,16,8,10,0,missed_playoffs,Eastern
FC Cincinnati,2019,13,24,11,0.034056,27,199,rising,18,4,24,6,14,0,missed_playoffs,Eastern
FC Cincinnati,2020,23,25,2,0.022681,21,104,falling,13,2,12,2,15,0,missed_playoffs,Eastern
FC Cincinnati,2021,23,26,3,0.028827,26,129,rising,31,8,18,6,13,0,missed_playoffs,Eastern
FC Cincinnati,2022,22,5,-17,0.027159,26,158,stable,55,17,8,9,2,1,conference_final,Eastern
FC Cincinnati,2023,8,1,-7,0.043531,26,338,rising,68,21,9,4,1,1,conference_final,Eastern
FC Cincinnati,2024,11,4,-7,0.034457,26,242,falling,55,16,11,7,5,1,conference_semifinal,Eastern
FC Dallas,2018,14,16,2,0.035953,24,196,stable,43,11,13,10,9,1,first_round,Western
FC Dallas,2019,8,6,-2,0.044065,27,275,rising,51,15,11,8,4,1,conference_semifinal,Western
FC Dallas,2020,11,26,15,0.037459,24,195,falling,0,0,0,0,0,0,withdrew_covid,Western
FC Dallas,2021,27,22,-5,0.023409,23,100,falling,36,9,17,8,11,0,missed_playoffs,Western
